date,temperature,humidity,luminosity
2022-11-17 15:12:04.950,25.1,38.8,1890
2022-11-17 15:11:59.907,25.1,38.6,1893
2022-11-17 15:11:54.864,25.2,38.2,1891
2022-11-17 15:11:49.821,25.1,37.9,1887
2022-11-17 15:11:44.778,25.2,37.9,1896
2022-11-17 15:11:39.735,25.1,38.2,1896
2022-11-17 15:11:34.692,25.1,38.1,1894
2022-11-17 15:11:29.649,25.2,38.1,1893
2022-11-17 15:11:24.605,25.1,38.4,1891
2022-11-17 15:11:19.561,25.1,38.2,1889
2022-11-17 15:11:14.517,25.1,38.4,1890
2022-11-17 15:11:09.475,25.1,38.3,1889
2022-11-17 15:11:04.431,25.1,38.1,1895
2022-11-17 15:10:59.388,25.1,38.1,1894
2022-11-17 15:10:54.344,25.1,38.1,1894
2022-11-17 15:10:49.301,25.1,37.6,1892
2022-11-17 15:10:44.258,25.1,37.4,1888
2022-11-17 15:10:39.215,25.1,37.2,1882
2022-11-17 15:10:34.172,25.2,37.0,1883
2022-11-17 15:10:29.129,25.2,37.1,1874
2022-11-17 15:10:24.086,25.2,37.1,1877
2022-11-17 15:10:19.043,25.2,37.1,1877
2022-11-17 15:10:14.001,25.1,37.0,1878
2022-11-17 15:10:08.958,25.2,37.1,1877
2022-11-17 15:10:03.915,25.2,37.1,1876
2022-11-17 15:09:58.872,25.2,37.2,1880
2022-11-17 15:09:53.829,25.2,37.3,1877
2022-11-17 15:09:48.785,25.3,37.3,1871
2022-11-17 15:09:43.743,25.2,37.2,1885
2022-11-17 15:09:38.699,25.2,37.2,1867
2022-11-17 15:09:33.657,25.2,37.1,1876
2022-11-17 15:09:28.613,25.2,36.9,1875
2022-11-17 15:09:23.571,25.2,36.7,1867
2022-11-17 15:09:18.526,25.2,36.5,1872
2022-11-17 15:09:13.484,25.2,36.5,1869
2022-11-17 15:09:08.441,25.2,36.5,1865
2022-11-17 15:09:03.397,25.2,36.4,1862
2022-11-17 15:08:58.354,25.2,36.6,1862
2022-11-17 15:08:53.311,25.2,36.6,1873
2022-11-17 15:08:48.267,25.3,36.6,1859
2022-11-17 15:08:43.223,25.2,36.7,1872
2022-11-17 15:08:38.180,25.3,36.6,1874
2022-11-17 15:08:33.137,25.3,36.6,1875
2022-11-17 15:08:28.094,25.3,36.7,1881
2022-11-17 15:08:23.050,25.3,36.9,1881
2022-11-17 15:08:18.006,25.3,36.8,1878
2022-11-17 15:08:12.962,25.3,37.0,1876
2022-11-17 15:08:07.918,25.3,37.1,1875
2022-11-17 15:08:02.874,25.3,37.2,1875
2022-11-17 15:07:57.830,25.3,37.2,1875
2022-11-17 15:07:52.786,25.3,37.4,1879
2022-11-17 15:07:47.742,25.3,37.7,1880
2022-11-17 15:07:42.699,25.3,37.5,1875
2022-11-17 15:07:37.655,25.3,37.4,1873
2022-11-17 15:07:32.611,25.3,37.2,1872
2022-11-17 15:07:27.569,25.4,37.2,1875
2022-11-17 15:07:22.526,25.4,37.0,1875
2022-11-17 15:07:17.482,25.4,36.7,1877
2022-11-17 15:07:12.439,25.4,36.7,1873
2022-11-17 15:07:07.395,25.4,36.6,1870
2022-11-17 15:07:02.352,25.4,36.5,1871
2022-11-17 15:06:57.311,25.5,36.4,1876
2022-11-17 15:06:52.267,25.4,36.4,1875
2022-11-17 15:06:47.223,25.4,36.4,1871
2022-11-17 15:06:42.181,25.4,36.6,1866
2022-11-17 15:06:37.137,25.5,36.6,1866
2022-11-17 15:06:32.095,25.4,36.8,1865
2022-11-17 15:06:27.052,25.5,36.8,1853
2022-11-17 15:06:22.009,25.5,36.8,1858
2022-11-17 15:06:16.966,25.5,36.8,1860
2022-11-17 15:06:11.923,25.5,36.9,1867
2022-11-17 15:06:06.879,25.5,36.9,1874
2022-11-17 15:06:01.836,25.5,37.1,1871
2022-11-17 15:05:56.792,25.5,37.1,1873
2022-11-17 15:05:51.750,25.5,37.2,1877
2022-11-17 15:05:46.707,25.5,37.3,1871
2022-11-17 15:05:41.664,25.5,37.4,1877
2022-11-17 15:05:36.621,25.5,37.4,1872
2022-11-17 15:05:31.577,25.5,37.4,1870
2022-11-17 15:05:26.534,25.5,37.2,1875
2022-11-17 15:05:21.491,25.5,37.2,1873
2022-11-17 15:05:16.448,25.6,37.3,1878
2022-11-17 15:05:11.405,25.6,37.2,1860
2022-11-17 15:05:06.362,25.6,37.2,1865
2022-11-17 15:05:01.319,25.6,37.1,1866
2022-11-17 15:04:56.275,25.6,37.1,1862
